,user name,tweet
41,owen ☆ edtwt & shtwt,"RT @frailivy: PLEASE-
#edtwt #twilight #ana #mia #proana #meme #anameme https://t.co/2Jy2Qo9eZ8"
42,MeanspoDaddy,Normally on tumblr but I thought I'd come check out #anatwt and see what its all about. #edtwt #proana #anacoach #edcoach #meanspo
43,Aliyah | shtwt | edtwt,"✧･ﾟ:* My weight loss thread *:･ﾟ✧

I’ll update how much I weigh here. I’m aiming for a weigh in every two weeks. I’ll also try to mention the amount of calories for every two weeks. #edtwt #proana #thinspo #ana #eatingdisorder"
44,sky is starving,RT @Ana___Winter: Diet Coke are no friends   why ice #proana
45,Grand Risings,"RT @ProAnaBeauty1: How to burn 100 calories? Now u know. Its easy ❤🦋
#ProAna
#Workout
#Meanspo
#Thinspo
#100calories https://t.co/A09jCpIFou"
46,:),not me being torn between my ed and my alcoholism #edtwt #edtwtthread #proana
47,Veigelign,"RT @skintibinti: some leg thinspo for my comrades
#thinspo #edtwt #ana #anatwt #mia #miatwt #ricecaketwt
#ed #proana #promia #legspo (not p…"
48,𝖘𝖐𝖎𝖓 𝖆𝖓𝖉 𝖇𝖔𝖓𝖊𝖘,"RT @IEdtwt: *°:⋆ₓₒhere are some of my favorite workout videos for the different parts of the bodyₓₒ⋆:°*
                 (a thread)

I hope…"
49,🦖Rae Webster 🦖,@VirginAtlantic Good to see @VirginAtlantic advertising normal shaped women rather than anorexic sticks and waifs #Advertising #proana
50,Bee,Woke up an hour ago and already consumed 400 calories wow 😭 I need to burn it all off and will now be looking up workouts I can do unnoticed in class #edtwt #edtwtdiet #calories #fatspo #proana
51,misophisoup,"RT @R_NDOM_GRL: If this gets removed I’m kms 
#thinspo #ed #edtwt #proana #promia https://t.co/7S8sZJIHaK"
52,☾ ♡ toby ♡ ☽,RT @goremachines: 2022 resolution: get skinny #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/Vm3itx7hzv
53,Dux Ghost,RT @S4dM3rcy: I love when men. Okay anyways thinspo #proana #ana #edtwt #edtw #Mia #promia #notprojustusingtags #skinny #weightloss #skinny…
54,Dux Ghost,"RT @starving_moon: Today's thinspo is dedicated to all the men among us! Stay safe guys! &lt;3

#thinspo #malespo #proana #edtwt #anorexia #an…"
55,E,"I don’t need to look at fatspo, I’m my own fatspo :( #edtwt #fatspo #proana"
56,Ana Winter,Diet Coke are no friends   why ice #proana
57,rice,"RT @blue10431614: #mascspo thread for my non binaries/tomboys/guys or just masc cuties in generall 🤍🤍🤍

#malespo #ed #edtwt #proana #sweets…"
58,Teeth4Tea,RT @r4v3nsth1nsp0: NOT MY PICS} but huge thinspo 4 me #proana #probulimia #thinspo #deathspo #aesthetic #skinny #bonespo #anorexia #bulimia…
59,REX,RT @minsthinspo: tags: #thinspo #armspo #legso #edtwt #proana #bonespo https://t.co/LtyLJhFcg2
60,Saca,"01/05/2022 
What I ate today: 
Sparkling water 5 cal
Coffee 0 cal
Lemonade w/ SF sugar 0 cal (x2)
Diet soda 0 cal (x2) 
Tea 0 cal (x2) 
Ham, cheese, veg wrap 164cal
Exercise: -446 cal

NET: -277 cal 
#edtwt #thinspo #proana #anatwt #meanspo #sweetspo #bodycheck #legspo #bonespo"
61,the edgy wanarexic,"RT @SKlNNYDlOR: how to avoid overeating: a thread!

#edtwt #proana ☕️ https://t.co/j7KHhLwDPc"
62,bug,RT @goremachines: somebody buy me these pjssssss #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/BPGnGPw6TO
63,ZeroCokeKcals,"RT @Thin_Meow: 💕This body is goals💕

#edtwt
#proana
#thinsp0 
#thighgap
#skinny https://t.co/uiqQCWLcG5"
64,bug,RT @goremachines: 2022 resolution: get skinny #thinspo #thighgap #skinny #proana #meanspo #edtwt #bonespo #ana https://t.co/Vm3itx7hzv
65,Adelina ☽,"RT @jiwonspo: a thread of lazy / lying down / workouts you can do in bed w/ fitspo and thinspo ⋆ ˚｡⋆୨୧˚

[tagz: edtwt thread #edtwt fitspo…"
66,yota is starving. 🍯🧸,"RT @blue10431614: #mascspo thread for my non binaries/tomboys/guys or just masc cuties in generall 🤍🤍🤍

#malespo #ed #edtwt #proana #sweets…"
67,kate moss wannabe,"RT @skinnykittenlol: #proana whatsapp group! 

♡daily weight-checks
♡meanspo
♡tips on loosing weight fast
♡thinspo 
♡can be toxic if yall w…"
